NAMESPACE,POD,CONTAINER,CMDLINE,STACK TRACE ID,STACK TRACE,COUNT,PERCENTAGE
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2225893,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.checkConnErrorWriter.Write;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] sock_write_iter;[k] tcp_sendmsg;[k] tcp_sendmsg_locked;[k] __tcp_push_pending_frames;[k] tcp_write_xmit;[k] __tcp_transmit_skb;[k] __ip_queue_xmit;[k] ip_output;[k] ip_finish_output2;[k] __local_bh_enable_ip;[k] do_softirq;[k] do_softirq_own_stack;[k] asm_call_sysvec_on_stack;[k] __softirqentry_text_start;[k] net_rx_action;[k] process_backlog;[k] ip_rcv;[k] ip_local_deliver;[k] ip_protocol_deliver_rcu;[k] tcp_v4_rcv;[k] tcp_v4_do_rcv;[k] tcp_rcv_established;[k] __tcp_transmit_skb;[k] __ip_queue_xmit ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226254,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] __x64_sys_accept4;[k] __sys_accept4_file;[k] new_inode_pseudo;[k] sock_alloc_inode;[k] kmem_cache_alloc;[k] get_obj_cgroup_from_current ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227555,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*ServeMux).ServeHTTP ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227785,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] entry_SYSCALL_64_after_hwframe;[k] syscall_exit_to_user_mode;[k] exit_to_user_mode_loop;[k] task_work_run;[k] __fput;[k] dput;[k] dentry_kill;[k] __dentry_kill;[k] evict;[k] __destroy_inode;[k] fsnotify_destroy_marks;[k] fsnotify_grab_connector;[k] __srcu_read_lock ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2228057,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;os.hostname;syscall.Uname;syscall.RawSyscall;runtime/internal/syscall.Syscall6;[k] entry_SYSCALL_64_after_hwframe;[k] do_syscall_64;[k] __se_sys_newuname;[k] memcpy_erms ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226710,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convI2I ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2224776,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;runtime.deferreturn;net/http.(*conn).serve.func1;net/http.(*conn).close;net.(*conn).Close;net.(*netFD).Close;internal/poll.(*FD).Close;internal/poll.(*FD).decref;internal/poll.(*FD).destroy;syscall.Close;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] entry_SYSCALL_64_after_hwframe;[k] syscall_exit_to_user_mode;[k] exit_to_user_mode_loop;[k] task_work_run;[k] __fput;[k] sock_close;[k] inet_release;[k] tcp_close;[k] tcp_send_fin;[k] __tcp_push_pending_frames;[k] tcp_write_xmit;[k] __tcp_transmit_skb;[k] __ip_queue_xmit;[k] ip_output;[k] ip_finish_output2;[k] __dev_queue_xmit;[k] dev_hard_start_xmit;[k] veth_xmit ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226564,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] __x64_sys_accept4;[k] __sys_accept4_file;[k] sock_alloc_file;[k] alloc_file_pseudo;[k] mntget ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226981,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] __x64_sys_accept4;[k] __sys_accept4_file;[k] sock_alloc_file;[k] alloc_file_pseudo;[k] d_instantiate;[k] security_d_instantiate ,2,1.16279
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227558,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP ,1,0.581395
