NAMESPACE,POD,CONTAINER,CMDLINE,STACK TRACE ID,STACK TRACE
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12393314.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.gcDrainN;runtime.markroot;runtime.markroot.func1;runtime.scanstack;runtime.gentraceback;runtime.scanstack.func1;runtime.scanframeworker;runtime.getStackMap
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12464852.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.(*mcache).nextFree;runtime.(*mcache).refill;runtime.(*mcentral).cacheSpan;runtime.(*mcentral).grow;runtime.systemstack.abi0;runtime.(*mheap).alloc.func1;runtime.(*mheap).allocSpan;runtime.newAllocBits;runtime.newMarkBits
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12463200.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;net/http.(*response).Write;net/http.(*response).write;bufio.(*Writer).Write;bufio.(*Writer).Flush;net/http.(*chunkWriter).Write;bufio.(*Writer).Write;bufio.(*Writer).Flush;net/http.checkConnErrorWriter.Write;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] sock_write_iter;[k] tcp_sendmsg;[k] tcp_sendmsg_locked
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12465599.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;fmt.(*pp).free;sync.(*Pool).Put;runtime.wbBufFlush.abi0
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466064.0,runtime.goexit.abi0;runtime.gcenable.func2;runtime.bgscavenge;runtime.(*scavengerState).run;runtime.(*scavengerState).init.func2;runtime.systemstack.abi0;runtime.(*pageAlloc).scavenge.func1;runtime.(*pageAlloc).scavengeOne;runtime.sysUnused;runtime.madvise.abi0;[k] entry_SYSCALL_64_after_hwframe;[k] do_syscall_64;[k] __x64_sys_madvise;[k] do_madvise;[k] zap_page_range;[k] tlb_finish_mmu;[k] tlb_flush_mmu;[k] flush_tlb_mm_range;[k] on_each_cpu_cond_mask;[k] smp_call_function_single;[k] generic_exec_single;[k] x2apic_send_IPI;[k] native_write_msr
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12464856.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;runtime.gcWriteBarrierDX;runtime.gcWriteBarrier;runtime.wbBufFlush.abi0;runtime.wbBufFlush
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12463652.0,runtime.goexit.abi0;runtime.systemstack.abi0;runtime.gcBgMarkWorker.func2;runtime.gcDrain;runtime.greyobject
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466914.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.getitab;[k] asm_common_interrupt;[k] common_interrupt;[k] __irq_exit_rcu;[k] do_softirq_own_stack;[k] asm_call_sysvec_on_stack;[k] __softirqentry_text_start
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,314.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.gcDrainN;runtime.scanobject;runtime.greyobject
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466634.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.gcDrainN;runtime.markroot;runtime.markrootBlock;runtime.scanblock;runtime.findObject
