table_id,node,actual_disk_read_throughput,actual_disk_write_throughput,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,256 KiB/sec,37.5 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,5.60%,2023-02-22 19:34:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,326 KiB/sec,216 KiB/sec,1.6 GiB,13.4 GiB,6.00%,2023-02-22 19:35:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,180 KiB/sec,81.9 KiB/sec,136 KiB/sec,1.7 GiB,17.4 GiB,9.70%,2023-02-22 19:36:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,57.9 KiB/sec,135 KiB/sec,1.7 GiB,17.4 GiB,4.70%,2023-02-22 19:36:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,198 KiB/sec,63.5 KiB/sec,147 KiB/sec,1.7 GiB,17.4 GiB,6.50%,2023-02-22 19:35:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,248 KiB/sec,41.3 KiB/sec,208 KiB/sec,1.6 GiB,13.4 GiB,6.50%,2023-02-22 19:36:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,179 KiB/sec,78.2 KiB/sec,133 KiB/sec,1.7 GiB,17.4 GiB,9.90%,2023-02-22 19:38:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,138 KiB/sec,42.0 KiB/sec,104 KiB/sec,1.6 GiB,17.4 GiB,3.90%,2023-02-22 19:34:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,182 KiB/sec,78.5 KiB/sec,136 KiB/sec,1.7 GiB,17.4 GiB,9.70%,2023-02-22 19:35:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,39.4 KiB/sec,214 KiB/sec,1.6 GiB,13.4 GiB,5.40%,2023-02-22 19:35:40 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,64.9 KiB/sec,131 KiB/sec,1.6 GiB,17.4 GiB,8.60%,2023-02-22 19:38:10 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,176 KiB/sec,1.5 MiB/sec,143 KiB/sec,1.6 GiB,17.4 GiB,5.90%,2023-02-22 19:34:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,248 KiB/sec,29.5 MiB/sec,214 KiB/sec,1.7 GiB,14.2 GiB,7.90%,2023-02-22 19:36:00 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,254 KiB/sec,34.8 KiB/sec,212 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:37:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,40.2 KiB/sec,220 KiB/sec,1.6 GiB,13.4 GiB,6.60%,2023-02-22 19:35:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,256 KiB/sec,44.1 KiB/sec,222 KiB/sec,1.6 GiB,13.4 GiB,6.00%,2023-02-22 19:38:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,28.8 KiB/sec,3.6 KiB/sec,23.4 KiB/sec,1.6 GiB,13.4 GiB,0.70%,2023-02-22 19:39:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,178 KiB/sec,60.3 KiB/sec,142 KiB/sec,1.7 GiB,17.4 GiB,5.40%,2023-02-22 19:36:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,48.8 KiB/sec,220 KiB/sec,1.6 GiB,13.4 GiB,6.80%,2023-02-22 19:34:50 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,255 KiB/sec,905 KiB/sec,219 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:36:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,40.5 KiB/sec,223 KiB/sec,1.6 GiB,13.4 GiB,5.30%,2023-02-22 19:34:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,258 KiB/sec,47.4 KiB/sec,217 KiB/sec,1.6 GiB,13.4 GiB,6.20%,2023-02-22 19:35:20 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-d56z,0 B/sec,262 KiB/sec,1.4 MiB/sec,226 KiB/sec,1.6 GiB,13.4 GiB,5.90%,2023-02-22 19:37:30 +0000 UTC
process_stats,gke-pixie-test-default-pool-a9846490-zh5n,0 B/sec,177 KiB/sec,51.2 KiB/sec,134 KiB/sec,1.6 GiB,17.4 GiB,4.90%,2023-02-22 19:38:20 +0000 UTC
